window,model,n,acc,bacc,precision,recall,f1,cm_TN_FP_FN_TP,roc_auc,pr_auc,pos_rate
train,M0_persistence,1232,0.9298245614035088,0.8878704130201136,0.7630331753554502,0.8256410256410256,0.7931034482758621,"952,50,34,161",,,0.16290726817042606
train,logit_thr_0.05,1232,0.6223893065998329,0.7744510978043913,0.30139103554868624,1.0,0.46318289786223277,"550,452,0,195",0.9932596345769997,0.9629529734726788,0.16290726817042606
covid,M0_persistence,273,0.8644688644688645,0.8327380952380952,0.9358974358974359,0.6952380952380952,0.7978142076502732,"163,5,32,73",,,0.38461538461538464
covid,logit_thr_0.05,273,0.8571428571428571,0.8339285714285714,0.875,0.7333333333333333,0.7979274611398963,"157,11,28,77",0.919954648526077,0.887375584992271,0.38461538461538464
surge,M0_persistence,352,0.8778409090909091,0.7991975710258079,0.8908450704225352,0.9547169811320755,0.9216757741347905,"56,31,12,253",,,0.7528409090909091
surge,logit_thr_0.05,352,0.7869318181818182,0.8430492301019301,0.9797979797979798,0.7320754716981132,0.838012958963283,"83,4,71,194",0.9047061374972892,0.97019028719642,0.7528409090909091
