coicopCol,coicopCode,coicopLabel,eu27,de,coreMean,coreP10,coreP90
hicpInflation_CP04,CP04,"Housing, water, electricity, gas and other fuels",12.804761904761904,9.299999999999999,16.07857142857143,8.952380952380953,23.695238095238096
hicpInflation_CP07,CP07,Transport,10.68095238095238,10.923809523809524,10.381746031746031,8.257142857142856,13.433333333333334
hicpInflation_CP01,CP01,Food and non-alcoholic beverages,7.542857142857144,8.704761904761904,6.692063492063492,4.966666666666667,8.669047619047618
hicpInflation_CP11,CP11,Restaurants and hotels,5.59047619047619,5.495238095238095,6.107142857142858,3.776190476190476,9.290476190476191
hicpInflation_CP05,CP05,"Furnishings, household equipment and routine household maintenance",4.933333333333333,5.1380952380952385,5.403968253968254,3.633333333333333,7.480952380952381
hicpInflation_CP02,CP02,"Alcoholic beverages, tobacco and narcotics",3.6952380952380954,3.9428571428571426,2.3682539682539683,1.2380952380952381,3.769047619047619
hicpInflation_CP09,CP09,Recreation and culture,3.404761904761905,3.657142857142857,3.0587301587301585,1.5404761904761903,5.361904761904762
hicpInflation_CP12,CP12,Miscellaneous goods and services,3.0666666666666664,3.0238095238095233,3.228571428571428,2.054761904761905,4.826190476190476
hicpInflation_CP03,CP03,Clothing and footwear,2.1857142857142855,2.404761904761905,2.3261904761904764,0.5833333333333334,3.9119047619047618
hicpInflation_CP06,CP06,Health,1.757142857142857,1.0666666666666667,1.5031746031746032,0.2904761904761905,3.392857142857143
hicpInflation_CP10,CP10,Education,1.3666666666666667,1.8047619047619048,-0.06190476190476248,-5.188095238095239,4.261904761904762
hicpInflation_CP08,CP08,Communications,0.004761904761904768,0.15714285714285717,-0.34365079365079393,-2.307142857142857,2.8095238095238093
