geo,clusterId,hicpInflation_CP01_vs_eu27,hicpInflation_CP02_vs_eu27,hicpInflation_CP03_vs_eu27,hicpInflation_CP04_vs_eu27,hicpInflation_CP05_vs_eu27,hicpInflation_CP06_vs_eu27,hicpInflation_CP07_vs_eu27,hicpInflation_CP08_vs_eu27,hicpInflation_CP09_vs_eu27,hicpInflation_CP10_vs_eu27,hicpInflation_CP11_vs_eu27,hicpInflation_CP12_vs_eu27
BE,0,-0.4666666666666668,11.008666666666663,2.966666666666667,9.166666666666668,0.19999999999999998,-1.6333333333333329,0.0,4.733333333333333,-0.9666666666666663,-3.466666666666666,-0.5,-1.100000000000001
CZ,0,-1.6,-0.7666666666666666,-1.5666666666666667,2.7000000000000006,0.9333333333333336,0.26666666666666705,0.23333333333333334,3.3000000000000003,0.9333333333333336,6.233333333333336,2.533333333333333,-0.8666666666666671
DE,0,0.3333333333333335,-1.2333333333333334,1.6666666666666665,-1.8666666666666665,-0.7999999999999999,-0.9666666666666668,0.7,0.8666666666666669,0.16666666666666696,0.0333333333333341,1.1000000000000005,2.3666666666666663
EE,0,3.0666666666666673,0.9333333333333336,-1.2,-3.1666666666666665,2.433333333333333,3.1,3.1,10.318666666666642,2.233333333333334,2.1999999999999993,-0.06666666666666643,3.0666666666666655
HR,0,2.7,-0.4666666666666659,-1.0333333333333334,-1.2666666666666664,0.3666666666666667,1.5333333333333337,0.03333333333333337,-3.3000000000000003,2.3000000000000003,0.3333333333333348,6.466666666666668,2.0666666666666655
HU,0,1.5666666666666664,-1.8333333333333335,2.1999999999999997,-1.0666666666666664,1.4333333333333336,1.4000000000000008,1.0666666666666664,6.166666666666667,2.1999999999999997,1.1000000000000005,2.4000000000000004,3.5666666666666655
LV,0,2.6000000000000005,1.8000000000000007,-0.7,-5.2333333333333325,2.1,2.1999999999999997,-2.4000000000000004,7.800000000000001,3.266666666666666,0.8999999999999995,-1.1,-1.7000000000000006
NL,0,0.10000000000000009,11.008666666666663,0.8,0.8333333333333335,-2.0666666666666664,2.3333333333333344,1.0,1.5333333333333334,-0.13333333333333286,7.333333333333334,1.7333333333333334,1.1333333333333337
PL,0,1.8999999999999995,-0.8666666666666663,-2.833333333333333,4.700000000000001,1.4,1.9000000000000008,-1.7666666666666664,5.766666666666667,2.5000000000000004,2.333333333333335,1.7333333333333334,-0.6000000000000001
RS,0,2.0,2.466666666666667,3.466666666666667,1.233333333333333,5.566666666666666,1.9333333333333331,0.5666666666666667,5.5,3.6333333333333333,-0.8999999999999995,4.4333333333333345,-0.7000000000000006
