geo,timeQuarter,yPred,model
AT,2025Q1,2.2668456093588665,ENS_M0_plus_MA_Ridge_plus_MB_Ridge
AT,2025Q2,2.2668456093588665,ENS_M0_plus_MA_Ridge_plus_MB_Ridge
AT,2025Q3,2.2668456093588665,ENS_M0_plus_MA_Ridge_plus_MB_Ridge
AT,2025Q4,2.2668456093588665,ENS_M0_plus_MA_Ridge_plus_MB_Ridge
BE,2025Q1,4.813429196423484,ENS_M0_plus_MA_Ridge_plus_MB_Ridge
BE,2025Q2,4.813429196423484,ENS_M0_plus_MA_Ridge_plus_MB_Ridge
BE,2025Q3,4.813429196423484,ENS_M0_plus_MA_Ridge_plus_MB_Ridge
BE,2025Q4,4.813429196423484,ENS_M0_plus_MA_Ridge_plus_MB_Ridge
BG,2025Q1,3.0186879291694546,ENS_M0_plus_MA_Ridge_plus_MB_Ridge
BG,2025Q2,3.0186879291694546,ENS_M0_plus_MA_Ridge_plus_MB_Ridge
BG,2025Q3,3.0186879291694546,ENS_M0_plus_MA_Ridge_plus_MB_Ridge
BG,2025Q4,3.0186879291694546,ENS_M0_plus_MA_Ridge_plus_MB_Ridge
CH,2025Q1,0.08867533090112119,ENS_M0_plus_MA_Ridge_plus_MB_Ridge
CH,2025Q2,0.08867533090112119,ENS_M0_plus_MA_Ridge_plus_MB_Ridge
CH,2025Q3,0.08867533090112119,ENS_M0_plus_MA_Ridge_plus_MB_Ridge
CH,2025Q4,0.08867533090112119,ENS_M0_plus_MA_Ridge_plus_MB_Ridge
CY,2025Q1,1.9303954409276458,ENS_M0_plus_MA_Ridge_plus_MB_Ridge
CY,2025Q2,1.9303954409276458,ENS_M0_plus_MA_Ridge_plus_MB_Ridge
CY,2025Q3,1.9303954409276458,ENS_M0_plus_MA_Ridge_plus_MB_Ridge
CY,2025Q4,1.9303954409276458,ENS_M0_plus_MA_Ridge_plus_MB_Ridge
CZ,2025Q1,3.524386680472153,ENS_M0_plus_MA_Ridge_plus_MB_Ridge
CZ,2025Q2,3.524386680472153,ENS_M0_plus_MA_Ridge_plus_MB_Ridge
CZ,2025Q3,3.524386680472153,ENS_M0_plus_MA_Ridge_plus_MB_Ridge
CZ,2025Q4,3.524386680472153,ENS_M0_plus_MA_Ridge_plus_MB_Ridge
DE,2025Q1,2.400212025147063,ENS_M0_plus_MA_Ridge_plus_MB_Ridge
DE,2025Q2,2.400212025147063,ENS_M0_plus_MA_Ridge_plus_MB_Ridge
DE,2025Q3,2.400212025147063,ENS_M0_plus_MA_Ridge_plus_MB_Ridge
DE,2025Q4,2.400212025147063,ENS_M0_plus_MA_Ridge_plus_MB_Ridge
DK,2025Q1,1.0880816078722728,ENS_M0_plus_MA_Ridge_plus_MB_Ridge
DK,2025Q2,1.0880816078722728,ENS_M0_plus_MA_Ridge_plus_MB_Ridge
DK,2025Q3,1.0880816078722728,ENS_M0_plus_MA_Ridge_plus_MB_Ridge
