clusterId,clusterLabel,shareOverall,topPositiveCats,topNegativeCats,topCP,meanSigned,meanAbs,maxAbs,clusterName,topCP_name
0,"BroadAboveEU (CP10, CP11)",0.3083333333333333,CP10 (Education)=2.59; CP11 (Restaurants & hotels)=2.21; CP06 (Health)=2.15; CP12 (Miscellaneous goods & services)=1.35,"CP04 (Housing, water, electricity, gas & other fuels)=0.42; CP07 (Transport)=0.62; CP01 (Food & non-alcoholic beverages)=0.96; CP09 (Recreation & culture)=1.17",CP10,1.3743072447447444,1.374,2.589,0 — Above-EU Mild (CP10 (Education)-led divergence),CP10 (Education)
1,"BroadBelowEU (CP02, CP01)",0.5729166666666666,"CP08 (Communication)=-0.28; CP07 (Transport)=-0.59; CP09 (Recreation & culture)=-0.69; CP04 (Housing, water, electricity, gas & other fuels)=-0.75",CP02 (Alcoholic beverages & tobacco)=-1.70; CP01 (Food & non-alcoholic beverages)=-1.56; CP10 (Education)=-1.38; CP12 (Miscellaneous goods & services)=-1.33,CP02,-0.9863330303030301,0.986,1.697,1 — Below-EU broad (Mild disinflation),CP02 (Alcoholic beverages & tobacco)
2,"BroadAboveEU (CP04, CP11)",0.11875,"CP04 (Housing, water, electricity, gas & other fuels)=10.99; CP11 (Restaurants & hotels)=8.55; CP01 (Food & non-alcoholic beverages)=6.88; CP12 (Miscellaneous goods & services)=6.33",CP02 (Alcoholic beverages & tobacco)=2.27; CP08 (Communication)=2.99; CP10 (Education)=3.30; CP03 (Clothing & footwear)=3.67,CP04,5.324996588693956,5.325,10.992,"2 — Above-EU High (CP04 (Housing, water, electricity, gas & other fuels)-led divergence)","CP04 (Housing, water, electricity, gas & other fuels)"
