geo,timeQuarter,yProb,yPredClass,clsModel,yPredReg,regModel,regSourceKey,clusterIdLatest,clusterLabelLatest,geo_label,iso3,clusterId,clusterName,meanAbs,maxAbs,topPositiveCats,topNegativeCats,timeQuarterStr,riskPct,riskFlag
ES,2025Q1,0.0004855307155554197,0,logit_thr_0.010_scenarioFixedX_2025,1.8008366546206256,ENS_M0_plus_MB_Ridge_weighted,ENS_M0_plus_MB_Ridge_weighted,1.0,"BroadBelowEU (CP02, CP01)",Spain,ESP,1,1 — Below-EU broad (mild disinflation),0.986,1.697,"CP08 (Communication)=-0.28; CP07 (Transport)=-0.59; CP09 (Recreation & culture)=-0.69; CP04 (Housing, water, electricity, gas & other fuels)=-0.75",CP02 (Alcoholic beverages & tobacco)=-1.70; CP01 (Food & non-alcoholic beverages)=-1.56; CP10 (Education)=-1.38; CP12 (Miscellaneous goods & services)=-1.33,2025Q1,0.04855307155554197,0
FI,2025Q1,4.093045261773511e-05,0,logit_thr_0.010_scenarioFixedX_2025,1.3186539266757502,ENS_M0_plus_MB_Ridge_weighted,ENS_M0_plus_MB_Ridge_weighted,1.0,"BroadBelowEU (CP02, CP01)",Finland,FIN,1,1 — Below-EU broad (mild disinflation),0.986,1.697,"CP08 (Communication)=-0.28; CP07 (Transport)=-0.59; CP09 (Recreation & culture)=-0.69; CP04 (Housing, water, electricity, gas & other fuels)=-0.75",CP02 (Alcoholic beverages & tobacco)=-1.70; CP01 (Food & non-alcoholic beverages)=-1.56; CP10 (Education)=-1.38; CP12 (Miscellaneous goods & services)=-1.33,2025Q1,0.004093045261773511,0
FR,2025Q1,0.0005764646738108361,0,logit_thr_0.010_scenarioFixedX_2025,1.9014280193390647,ENS_M0_plus_MB_Ridge_weighted,ENS_M0_plus_MB_Ridge_weighted,1.0,"BroadBelowEU (CP02, CP01)",France,FRA,1,1 — Below-EU broad (mild disinflation),0.986,1.697,"CP08 (Communication)=-0.28; CP07 (Transport)=-0.59; CP09 (Recreation & culture)=-0.69; CP04 (Housing, water, electricity, gas & other fuels)=-0.75",CP02 (Alcoholic beverages & tobacco)=-1.70; CP01 (Food & non-alcoholic beverages)=-1.56; CP10 (Education)=-1.38; CP12 (Miscellaneous goods & services)=-1.33,2025Q1,0.05764646738108361,0
HR,2025Q1,0.0020708684484329245,0,logit_thr_0.010_scenarioFixedX_2025,3.5459599551252645,ENS_M0_plus_MB_Ridge_weighted,ENS_M0_plus_MB_Ridge_weighted,0.0,"BroadAboveEU (CP10, CP11)",Croatia,HRV,0,0 — Above-EU moderate (Services/Education-led divergence),1.374,2.589,CP10 (Education)=2.59; CP11 (Restaurants & hotels)=2.21; CP06 (Health)=2.15; CP12 (Miscellaneous goods & services)=1.35,"CP04 (Housing, water, electricity, gas & other fuels)=0.42; CP07 (Transport)=0.62; CP01 (Food & non-alcoholic beverages)=0.96; CP09 (Recreation & culture)=1.17",2025Q1,0.20708684484329246,0
HU,2025Q1,0.0008665104695549786,0,logit_thr_0.010_scenarioFixedX_2025,5.507541468294512,ENS_M0_plus_MB_Ridge_weighted,ENS_M0_plus_MB_Ridge_weighted,0.0,"BroadAboveEU (CP10, CP11)",Hungary,HUN,0,0 — Above-EU moderate (Services/Education-led divergence),1.374,2.589,CP10 (Education)=2.59; CP11 (Restaurants & hotels)=2.21; CP06 (Health)=2.15; CP12 (Miscellaneous goods & services)=1.35,"CP04 (Housing, water, electricity, gas & other fuels)=0.42; CP07 (Transport)=0.62; CP01 (Food & non-alcoholic beverages)=0.96; CP09 (Recreation & culture)=1.17",2025Q1,0.08665104695549786,0
IE,2025Q1,2.595278014776505e-05,0,logit_thr_0.010_scenarioFixedX_2025,1.1858896505392804,ENS_M0_plus_MB_Ridge_weighted,ENS_M0_plus_MB_Ridge_weighted,1.0,"BroadBelowEU (CP02, CP01)",Ireland,IRL,1,1 — Below-EU broad (mild disinflation),0.986,1.697,"CP08 (Communication)=-0.28; CP07 (Transport)=-0.59; CP09 (Recreation & culture)=-0.69; CP04 (Housing, water, electricity, gas & other fuels)=-0.75",CP02 (Alcoholic beverages & tobacco)=-1.70; CP01 (Food & non-alcoholic beverages)=-1.56; CP10 (Education)=-1.38; CP12 (Miscellaneous goods & services)=-1.33,2025Q1,0.002595278014776505,0
IT,2025Q1,0.00010382889873457265,0,logit_thr_0.010_scenarioFixedX_2025,1.4754647357020123,ENS_M0_plus_MB_Ridge_weighted,ENS_M0_plus_MB_Ridge_weighted,1.0,"BroadBelowEU (CP02, CP01)",Italy,ITA,1,1 — Below-EU broad (mild disinflation),0.986,1.697,"CP08 (Communication)=-0.28; CP07 (Transport)=-0.59; CP09 (Recreation & culture)=-0.69; CP04 (Housing, water, electricity, gas & other fuels)=-0.75",CP02 (Alcoholic beverages & tobacco)=-1.70; CP01 (Food & non-alcoholic beverages)=-1.56; CP10 (Education)=-1.38; CP12 (Miscellaneous goods & services)=-1.33,2025Q1,0.010382889873457266,0
LT,2025Q1,2.9004107086316177e-06,0,logit_thr_0.010_scenarioFixedX_2025,2.9572273485339737,ENS_M0_plus_MB_Ridge_weighted,ENS_M0_plus_MB_Ridge_weighted,1.0,"BroadBelowEU (CP02, CP01)",Lithuania,LTU,1,1 — Below-EU broad (mild disinflation),0.986,1.697,"CP08 (Communication)=-0.28; CP07 (Transport)=-0.59; CP09 (Recreation & culture)=-0.69; CP04 (Housing, water, electricity, gas & other fuels)=-0.75",CP02 (Alcoholic beverages & tobacco)=-1.70; CP01 (Food & non-alcoholic beverages)=-1.56; CP10 (Education)=-1.38; CP12 (Miscellaneous goods & services)=-1.33,2025Q1,0.0002900410708631618,0
LU,2025Q1,0.00012548486602426495,0,logit_thr_0.010_scenarioFixedX_2025,1.7911952611570836,ENS_M0_plus_MB_Ridge_weighted,ENS_M0_plus_MB_Ridge_weighted,1.0,"BroadBelowEU (CP02, CP01)",Luxembourg,LUX,1,1 — Below-EU broad (mild disinflation),0.986,1.697,"CP08 (Communication)=-0.28; CP07 (Transport)=-0.59; CP09 (Recreation & culture)=-0.69; CP04 (Housing, water, electricity, gas & other fuels)=-0.75",CP02 (Alcoholic beverages & tobacco)=-1.70; CP01 (Food & non-alcoholic beverages)=-1.56; CP10 (Education)=-1.38; CP12 (Miscellaneous goods & services)=-1.33,2025Q1,0.012548486602426495,0
LV,2025Q1,5.948201444754866e-05,0,logit_thr_0.010_scenarioFixedX_2025,2.980020426015437,ENS_M0_plus_MB_Ridge_weighted,ENS_M0_plus_MB_Ridge_weighted,0.0,"BroadAboveEU (CP10, CP11)",Latvia,LVA,0,0 — Above-EU moderate (Services/Education-led divergence),1.374,2.589,CP10 (Education)=2.59; CP11 (Restaurants & hotels)=2.21; CP06 (Health)=2.15; CP12 (Miscellaneous goods & services)=1.35,"CP04 (Housing, water, electricity, gas & other fuels)=0.42; CP07 (Transport)=0.62; CP01 (Food & non-alcoholic beverages)=0.96; CP09 (Recreation & culture)=1.17",2025Q1,0.005948201444754866,0
